% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
17478.47629	1.136875
17519.42466	1.1382
17560.37302	1.137525
17601.32139	1.13605
17642.26976	1.13805
17683.21812	1.139825
17724.16649	1.13915
17765.11486	1.142375
17806.06322	1.1458
17847.01159	1.153175
17887.95996	1.153975
17928.90832	1.1555
17969.85669	1.154675
18010.80506	1.15205
18051.75342	1.1482
18092.70179	1.14625
18133.65016	1.14975
18174.59852	1.1513
18215.54689	1.15195
18256.49526	1.1502
18297.44362	1.155975
18338.39199	1.15855
18379.34036	1.158475
18420.28872	1.15735
18459.7	1.15745
18494.5	1.1552
18529.3	1.153575
18564.1	1.155
18598.9	1.156475
18633.7	1.153675
18668.5	1.153075
18703.3	1.1565
18738.1	1.16025
18772.9	1.167675
18805.90187	1.1738
18833.50936	1.18125
18861.11684	1.180475
18888.72433	1.1836
18916.33182	1.1853
18943.9393	1.1862
18971.54679	1.186075
18999.15427	1.182225
19026.76176	1.187275
19054.36925	1.1927
19081.97673	1.1961
19109.58422	1.20015
19137.1917	1.2034
19164.79919	1.206675
19192.40668	1.207025
19220.01416	1.212575
19247.62165	1.208725
19275.22914	1.2084
19302.83662	1.19955
19330.44411	1.19285
19358.05159	1.1898
19385.65908	1.181325
19413.26657	1.182
19440.87405	1.17965
19468.48154	1.17755
19496.08902	1.177925
19523.69651	1.17335
19551.304	1.176225
19578.91148	1.17165
19606.51897	1.165225
19634.12645	1.155425
19661.73394	1.144925
19689.34143	1.145925
19716.94891	1.134825
19744.5564	1.13065
19772.16388	1.1234
19799.77137	1.123025
19827.37886	1.11695
19854.98634	1.120075
19882.59383	1.118575
19910.20132	1.111925
19937.8088	1.110675
19965.41629	1.1051
19993.02377	1.10085
20020.63126	1.0985
20048.23875	1.0984
20075.84623	1.100475
20103.45372	1.099925
20131.0612	1.09695
20158.66869	1.09335
20186.27618	1.096775
20213.88366	1.09915
20241.49115	1.09335
20269.09863	1.09535
20296.70612	1.093675
20324.31361	1.093625
20351.92109	1.094525
20379.52858	1.100225
20407.13606	1.10195
20434.74355	1.1062
20462.35104	1.10915
20564.49874	1.1121
20592.10622	1.11385
20619.71371	1.11405
20647.32119	1.1156
20674.92868	1.116975
20702.53617	1.11495
20730.14365	1.111
20757.75114	1.112675
20785.35862	1.091075
20812.96611	1.089
20840.5736	1.088375
20868.18108	1.0892
20895.78857	1.089125
20923.39605	1.087675
20951.00354	1.093325
20978.61103	1.0946
21006.21851	1.091675
21033.826	1.087825
21061.43349	1.081975
21144.25594	1.07915
21171.86343	1.0769
21199.47092	1.0724
21227.0784	1.069925
21254.68589	1.06595
21282.29337	1.063575
21309.90086	1.064875
21337.50835	1.06605
21365.11583	1.0684
21392.72332	1.0909
21420.3308	1.0918
21447.93829	1.0921
21475.54578	1.093375
21503.15326	1.090675
21530.49745	1.090875
21555.47191	1.08495
21580.44637	1.08345
21605.42084	1.082375
21630.3953	1.086275
21655.36977	1.091025
21680.34423	1.099325
21705.31869	1.102275
21730.29316	1.108425
21755.26762	1.110675
21780.24208	1.112175
21805.21655	1.10785
21830.19101	1.103025
21855.16547	1.106925
21880.13994	1.1073
21905.1144	1.1135
21930.08887	1.1157
21955.06333	1.121125
21980.03779	1.12505
22005.01226	1.1293
22029.98672	1.13575
22054.96118	1.1363
22079.93565	1.139925
22104.91011	1.141125
22129.88458	1.1445
22154.85904	1.146025
22179.8335	1.140025
22204.80797	1.136625
22229.78243	1.137425
22254.75689	1.139875
22279.73136	1.142925
22304.70582	1.1449
22329.68029	1.15505
22354.65475	1.152475
22379.62921	1.150325
22404.60368	1.146525
22429.57814	1.1482
22454.5526	1.1422
22479.52707	1.1395
22504.50153	1.142675
22529.476	1.1381
22554.45046	1.141075
22579.42492	1.132825
22604.39939	1.13695
22629.37385	1.13555
22654.34831	1.13465
22679.32278	1.136775
22704.29724	1.142125
22729.27171	1.1391
22754.24617	1.13805
22779.22063	1.14055
22804.1951	1.14515
22829.16956	1.140425
22854.14402	1.141475
22879.11849	1.144925
22904.09295	1.145025
22929.06742	1.14365
22954.04188	1.147775
22979.01634	1.14685
23003.99081	1.141225
23028.96527	1.1407
23053.93973	1.13715
23078.9142	1.145775
23103.88866	1.145725
23128.86313	1.147125
23153.83759	1.14665
23178.81205	1.144075
23203.78652	1.1376
23228.76098	1.13755
23253.73544	1.13675
23278.70991	1.1349
23303.68437	1.1383
23328.65884	1.140375
23353.6333	1.1407
23378.60776	1.14065
23403.58223	1.145725
23428.55669	1.1503
23453.53115	1.1506
23478.50562	1.151475
23503.48008	1.1549
23528.45455	1.159825
23553.42901	1.160625
23578.40347	1.160925
23603.37794	1.165625
23628.3524	1.172375
23653.32686	1.172625
23678.30133	1.1794
23703.27579	1.182825
23728.25026	1.187325
23753.22472	1.193125
23778.19918	1.1999
23803.17365	1.202275
23828.14811	1.202475
23853.12257	1.19645
23878.09704	1.1941
23903.0715	1.18895
23928.04597	1.18675
23953.02043	1.1885
23978.60385	1.18805
24006.62313	1.1885
24034.6424	1.18435
24062.66167	1.1824
24090.68094	1.17965
24118.70021	1.176325
24208.36188	1.1654
24236.38116	1.164475
24264.40043	1.154025
24292.4197	1.1523
24320.43897	1.142725
24348.45824	1.133025
24376.47752	1.12525
24404.49679	1.118625
24460.53533	1.11325
24488.5546	1.111675
24516.57388	1.1071
24544.59315	1.102625
25250.6788	1.095
25278.69807	1.089775
25306.71734	1.087975
25334.73662	1.083925
25446.8137	1.08165
25474.83298	1.080025
25502.85225	1.07705
25530.87152	1.06795
25558.89079	1.062475
25586.91006	1.058175
25614.92934	1.061225
25642.94861	1.060025
25670.96788	1.0613
25698.98715	1.0666
25727.00642	1.059475
25755.0257	1.0529
25783.04497	1.055125
25811.06424	1.0552
25839.08351	1.0572
25867.10278	1.059125
25895.12206	1.057525
25923.14133	1.05835
25951.1606	1.060775
25979.17987	1.0586
26007.19914	1.0631
26035.21842	1.06545
26063.23769	1.065175
26091.25696	1.068725
26119.27623	1.071375
26147.2955	1.070325
26175.31478	1.07085
26203.33405	1.06915
26231.35332	1.072475
26259.37259	1.0738
26287.39186	1.077
26399.46895	1.08355
26427.48822	1.085875
26455.50749	1.0907
26483.52677	1.091725
26511.54604	1.09125
26539.56531	1.0919
26567.58458	1.09135
26595.26961	1.08745
26621.61765	1.089225
26647.96569	1.08815
26674.31373	1.0927
26700.66176	1.096775
26727.0098	1.100725
26753.35784	1.106725
26779.70588	1.113525
26806.05392	1.117625
26832.40196	1.12085
26858.75	1.121125
26885.09804	1.11985
26911.44608	1.123575
26937.79412	1.12455
26964.14216	1.1229
26990.4902	1.122925
27016.83824	1.12725
27043.18627	1.1308
27069.53431	1.138925
27095.88235	1.144175
27122.23039	1.145125
27148.57843	1.153
27174.92647	1.1565
27201.27451	1.1564
27227.62255	1.153525
27253.97059	1.14785
27280.31863	1.14515
27306.66667	1.14335
27333.01471	1.14
27359.36275	1.14115
27385.71078	1.141575
27412.05882	1.14615
27438.40686	1.150325
27464.7549	1.151775
27491.10294	1.15555
27517.45098	1.15725
