%Depth	TC [%]	TIC [%]	TOC [%]
84.23	0.24	0.10	0.14
84.55	0.29	0.14	0.15
84.87	1.73	1.20	0.53
85.19	0.72	0.46	0.26
85.51	0.88	0.62	0.26
85.83	3.92	3.56	0.36
86.15	2.02	1.74	0.28
86.47	0.81	0.37	0.44
86.79	2.14	1.87	0.27
87.86	1.71	1.43	0.27
88.18	0.58	0.36	0.22
88.50	5.67	5.55	0.12
88.82	0.96	0.74	0.22
89.14	1.84	1.69	0.16
89.46	1.50	1.36	0.14
89.78	0.95	0.82	0.12
90.10	0.66	0.52	0.14
90.86	0.98	0.82	0.16
91.18	0.83	0.68	0.15
91.50	0.85	0.58	0.26
91.82	0.68	0.34	0.34
92.14	0.59	0.26	0.33
92.46	0.58	0.24	0.34
92.78	0.56	0.13	0.43
93.10	0.36	0.22	0.14
94.61	0.61	0.41	0.20
94.93	1.27	1.05	0.21
95.25	3.79	3.30	0.50
95.48	0.37	0.06	0.31
95.76	0.47	0.07	0.40
95.80	0.33	0.05	0.28
96.12	0.60	0.07	0.54
96.44	0.45	0.07	0.38
96.76	0.68	0.52	0.15
97.08	0.22	0.06	0.17
97.40	0.35	0.07	0.28
97.72	0.49	0.07	0.43
97.96	0.42	0.08	0.34
98.24	0.76	0.07	0.69
98.56	0.51	0.07	0.44
98.88	0.65	0.07	0.58
99.19	0.61	0.07	0.54
99.51	0.33	0.08	0.25
99.83	0.58	0.07	0.51
100.16	0.59	0.09	0.51
100.48	0.26	0.08	0.18
101.08	0.51	0.09	0.41
101.40	0.57	0.08	0.48
101.72	0.47	0.10	0.37
103.94	2.03	1.88	0.15
104.26	1.37	1.15	0.22
104.58	1.05	0.68	0.38
104.90	1.07	0.77	0.30
105.22	1.30	0.82	0.48
105.54	1.64	1.26	0.38
105.86	4.34	3.92	0.42
106.18	2.90	2.61	0.28
106.50	1.36	1.05	0.31
107.07	1.09	0.72	0.37
107.39	1.34	0.92	0.42
107.71	0.96	0.60	0.37
108.03	1.04	0.49	0.55
108.35	0.99	0.42	0.57
108.59	0.89	0.19	0.70
108.75	0.76	0.26	0.50
109.03	0.85	0.66	0.19
109.39	0.67	0.48	0.19
109.71	0.62	0.43	0.18
110.03	0.48	0.29	0.19
110.35	0.65	0.36	0.29
110.67	0.83	0.49	0.35
110.99	2.52	2.28	0.24
111.77	0.18	0.08	0.10
112.09	0.16	0.11	0.06
112.41	0.49	0.10	0.39
112.58	0.63	0.12	0.51
112.76	0.58	0.17	0.41
113.08	0.68	0.12	0.56
113.40	1.13	0.12	1.02
113.72	0.44	0.09	0.35
113.84	0.69	0.12	0.57
113.94	0.98	0.13	0.85
114.26	1.64	0.12	1.52
114.58	0.59	0.10	0.49
114.90	1.56	1.22	0.34
115.22	2.11	1.74	0.36
115.54	1.00	0.39	0.61
116.18	1.18	0.93	0.25
116.50	1.27	1.02	0.25
116.82	1.55	1.47	0.08
117.14	2.59	2.38	0.21
117.46	1.31	1.08	0.24
117.78	1.86	1.61	0.25
117.91	0.89	0.71	0.18
117.92	1.03	0.84	0.19
118.24	1.05	0.87	0.18
118.56	2.44	2.32	0.12
118.88	1.12	0.95	0.18
119.21	1.11	0.89	0.22
119.53	1.91	1.81	0.10
119.65	2.24	1.99	0.24
119.96	1.31	1.13	0.18
120.28	1.20	0.92	0.28
120.60	0.99	0.87	0.13
120.92	1.34	1.24	0.10
121.06	1.18	1.05	0.13
121.72	1.36	1.22	0.15
121.98	1.26	1.17	0.09
122.30	1.19	1.05	0.14
122.62	1.02	0.86	0.15
123.03	1.92	1.84	0.08
123.25	0.86	0.72	0.14
123.57	0.36	0.21	0.14
123.89	0.58	0.43	0.15
124.21	0.57	0.33	0.24
124.54	0.41	0.13	0.27
124.86	0.33	0.05	0.28
125.18	0.73	0.11	0.63
125.50	0.34	0.07	0.27
125.82	0.44	0.22	0.22
126.14	1.41	1.26	0.16
126.46	0.20	0.03	0.17
126.58	0.23	0.04	0.19
127.09	0.24	0.16	0.07
127.41	0.83	0.78	0.04
127.80	1.11	0.85	0.26
128.12	1.07	0.76	0.30
128.44	1.41	1.21	0.20
128.76	3.40	3.30	0.10
129.08	2.83	2.26	0.57
129.40	2.67	2.20	0.47
129.72	1.69	1.33	0.35
130.04	2.10	1.80	0.29
130.36	1.70	1.55	0.14
130.68	4.28	4.03	0.25
131.00	2.16	2.11	0.04
131.32	2.62	2.47	0.15
131.64	2.05	1.85	0.20
131.96	1.94	1.71	0.22
132.28	3.92	3.69	0.24
132.60	2.01	1.76	0.25
132.92	2.57	2.39	0.18
133.33	1.75	1.61	0.14
133.65	1.68	1.55	0.14
133.97	1.89	1.73	0.16
134.29	0.67	0.57	0.10
134.62	0.88	0.80	0.08
134.96	1.37	1.31	0.06
135.28	0.57	0.52	0.04
