%Spice Depth (m)	EM1	EM2	EM3	EM4	EM5 
50.01	0.00	0.34	0.33	0.31	0.02
50.33	0.00	0.37	0.34	0.27	0.02
50.65	0.00	0.29	0.22	0.47	0.03
50.97	0.00	0.33	0.28	0.37	0.02
51.29	0.00	0.00	0.09	0.77	0.14
51.61	0.00	0.36	0.28	0.34	0.02
51.93	0.08	0.28	0.31	0.31	0.02
52.21	0.00	0.36	0.22	0.40	0.03
52.69	0.00	0.00	0.09	0.69	0.22
53.48	0.00	0.10	0.04	0.24	0.62
54.72	0.03	0.23	0.02	0.14	0.57
55.05	0.02	0.13	0.12	0.33	0.41
57.89	0.00	0.00	0.03	0.16	0.81
60.73	0.04	0.07	0.05	0.16	0.68
61.05	0.12	0.00	0.03	0.11	0.73
61.36	1.00	0.00	0.00	0.00	0.00
61.68	0.31	0.13	0.25	0.28	0.02
62.00	0.58	0.00	0.04	0.32	0.05
62.34	0.15	0.34	0.46	0.03	0.01
62.66	0.02	0.18	0.13	0.56	0.11
62.98	0.01	0.21	0.22	0.52	0.03
63.30	0.00	0.17	0.24	0.56	0.03
63.62	0.00	0.00	0.08	0.66	0.25
63.95	0.08	0.26	0.43	0.21	0.01
64.27	0.00	0.00	0.06	0.48	0.46
64.59	0.00	0.00	0.07	0.56	0.36
64.91	0.00	0.00	0.08	0.61	0.31
65.54	0.00	0.01	0.04	0.31	0.63
66.18	0.00	0.00	0.04	0.26	0.70
67.04	0.17	0.41	0.39	0.03	0.01
67.36	0.09	0.32	0.43	0.16	0.01
67.68	0.24	0.35	0.38	0.02	0.01
67.95	0.16	0.36	0.45	0.03	0.01
68.00	0.11	0.11	0.52	0.25	0.01
68.27	0.13	0.16	0.27	0.42	0.02
68.60	0.02	0.05	0.07	0.29	0.57
68.92	0.05	0.29	0.48	0.17	0.01
69.24	0.03	0.10	0.11	0.38	0.38
69.56	0.13	0.34	0.39	0.13	0.01
69.75	1.00	0.00	0.00	0.00	0.00
69.88	0.06	0.23	0.41	0.28	0.02
70.07	0.00	0.06	0.33	0.58	0.03
70.20	0.00	0.19	0.38	0.40	0.02
70.52	0.02	0.26	0.55	0.16	0.01
70.85	0.01	0.00	0.00	0.06	0.92
71.33	0.00	0.03	0.17	0.57	0.23
71.65	0.00	0.03	0.31	0.63	0.03
71.89	0.00	0.23	0.39	0.36	0.02
71.97	0.00	0.08	0.31	0.58	0.03
72.53	0.15	0.32	0.49	0.03	0.01
72.85	0.18	0.08	0.74	0.00	0.00
73.18	0.19	0.16	0.59	0.06	0.00
73.80	0.00	0.13	0.19	0.64	0.03
74.12	0.00	0.14	0.16	0.67	0.03
74.44	0.00	0.10	0.20	0.67	0.03
74.76	0.00	0.18	0.05	0.40	0.37
75.08	0.23	0.16	0.60	0.01	0.00
75.41	0.83	0.02	0.13	0.01	0.00
75.73	0.75	0.02	0.18	0.05	0.00
76.05	0.72	0.03	0.24	0.01	0.00
76.36	0.73	0.03	0.23	0.00	0.00
76.68	0.67	0.03	0.25	0.04	0.00
77.00	0.73	0.03	0.21	0.03	0.00
77.32	0.65	0.01	0.11	0.22	0.01
77.77	0.06	0.01	0.11	0.70	0.12
78.11	0.01	0.02	0.17	0.26	0.54
80.20	0.00	0.00	0.07	0.58	0.35
81.37	0.26	0.06	0.44	0.23	0.01
81.69	0.37	0.29	0.32	0.02	0.01
81.95	0.28	0.15	0.56	0.01	0.00
82.32	0.22	0.07	0.45	0.25	0.01
82.64	0.51	0.19	0.28	0.01	0.00
82.96	0.16	0.05	0.39	0.39	0.02
83.28	0.23	0.03	0.29	0.43	0.02
83.60	0.00	0.02	0.22	0.72	0.04
83.92	0.00	0.00	0.09	0.81	0.10
84.24	0.00	0.00	0.08	0.67	0.25
84.56	0.00	0.00	0.09	0.75	0.16
84.88	0.30	0.10	0.22	0.03	0.35
85.20	0.12	0.00	0.03	0.18	0.66
85.52	0.16	0.01	0.10	0.09	0.63
85.84	0.14	0.14	0.33	0.35	0.03
86.16	0.01	0.07	0.24	0.28	0.38
86.48	0.00	0.01	0.11	0.10	0.78
86.80	0.19	0.31	0.47	0.02	0.01
87.87	0.10	0.13	0.75	0.03	0.00
88.19	0.02	0.05	0.50	0.41	0.02
88.51	0.06	0.08	0.69	0.17	0.01
88.83	0.15	0.08	0.69	0.07	0.00
89.15	0.21	0.12	0.67	0.00	0.00
89.47	0.22	0.12	0.66	0.00	0.00
89.79	0.23	0.09	0.61	0.06	0.00
90.11	0.29	0.11	0.61	0.00	0.00
90.87	0.21	0.08	0.69	0.02	0.00
91.19	0.30	0.11	0.59	0.00	0.00
91.51	0.18	0.13	0.64	0.05	0.00
91.83	0.07	0.14	0.41	0.36	0.02
92.15	0.03	0.15	0.39	0.42	0.02
92.47	0.02	0.09	0.34	0.53	0.03
92.79	0.08	0.13	0.31	0.45	0.03
93.11	0.03	0.02	0.16	0.45	0.33
94.62	0.27	0.31	0.17	0.23	0.02
94.94	0.19	0.31	0.25	0.23	0.02
95.26	0.27	0.43	0.26	0.03	0.01
95.49	0.10	0.16	0.47	0.26	0.01
95.58	0.06	0.53	0.36	0.04	0.01
95.77	0.19	0.29	0.40	0.11	0.01
95.81	0.15	0.26	0.28	0.28	0.03
96.13	0.07	0.30	0.36	0.26	0.02
96.45	0.00	0.38	0.32	0.28	0.02
96.77	0.00	0.06	0.33	0.58	0.03
97.09	0.00	0.03	0.30	0.64	0.03
97.41	0.04	0.19	0.55	0.21	0.01
97.73	0.12	0.47	0.37	0.03	0.01
97.97	0.09	0.34	0.55	0.03	0.01
98.25	0.48	0.46	0.02	0.04	0.01
98.57	0.25	0.55	0.14	0.04	0.01
98.89	0.28	0.38	0.30	0.03	0.01
99.20	0.26	0.51	0.18	0.04	0.01
99.52	0.02	0.24	0.51	0.22	0.01
99.84	0.02	0.36	0.39	0.21	0.02
100.17	0.35	0.29	0.33	0.02	0.00
100.49	0.00	0.12	0.43	0.43	0.02
101.09	0.20	0.45	0.31	0.03	0.01
101.41	0.21	0.45	0.29	0.03	0.01
101.73	0.16	0.29	0.41	0.12	0.01
105.55	0.10	0.47	0.39	0.03	0.01
105.87	0.44	0.50	0.01	0.04	0.01
106.19	0.17	0.49	0.30	0.03	0.01
106.51	0.47	0.24	0.27	0.01	0.00
107.08	0.05	0.25	0.69	0.01	0.00
107.40	0.35	0.26	0.37	0.01	0.00
107.72	0.08	0.14	0.78	0.00	0.00
108.04	0.02	0.33	0.63	0.02	0.00
108.36	0.61	0.35	0.00	0.03	0.01
108.60	0.85	0.03	0.11	0.00	0.00
108.70	0.01	0.23	0.56	0.19	0.01
108.94	0.38	0.08	0.54	0.00	0.00
109.40	0.43	0.06	0.50	0.00	0.00
109.72	0.42	0.07	0.50	0.01	0.00
110.04	0.40	0.06	0.38	0.15	0.01
110.36	0.19	0.11	0.52	0.17	0.01
110.68	0.24	0.09	0.48	0.18	0.01
111.00	0.15	0.27	0.41	0.16	0.01
111.78	0.04	0.01	0.06	0.48	0.40
112.10	0.00	0.00	0.07	0.54	0.39
112.42	0.10	0.10	0.12	0.51	0.17
112.59	0.19	0.29	0.29	0.22	0.01
112.77	0.19	0.06	0.40	0.13	0.22
113.09	0.26	0.26	0.24	0.04	0.19
113.58	0.07	0.30	0.34	0.27	0.02
113.90	0.07	0.22	0.37	0.33	0.02
114.22	0.12	0.46	0.37	0.03	0.01
114.49	0.26	0.49	0.20	0.04	0.01
114.49	0.00	0.39	0.57	0.04	0.01
114.59	0.13	0.39	0.45	0.02	0.01
114.91	0.00	0.03	0.24	0.16	0.57
115.23	0.02	0.23	0.55	0.20	0.01
115.55	0.01	0.28	0.26	0.31	0.13
115.87	0.02	0.31	0.42	0.23	0.02
116.19	0.00	0.35	0.27	0.35	0.02
116.51	0.25	0.33	0.33	0.09	0.01
116.83	0.18	0.28	0.50	0.04	0.00
117.15	0.25	0.11	0.63	0.00	0.00
117.47	0.21	0.19	0.50	0.10	0.01
117.79	0.23	0.07	0.65	0.05	0.00
117.92	0.32	0.05	0.43	0.19	0.01
117.93	0.12	0.10	0.78	0.00	0.00
118.25	0.16	0.10	0.73	0.01	0.00
118.57	0.17	0.25	0.57	0.01	0.00
118.89	0.16	0.17	0.67	0.00	0.00
119.22	0.27	0.10	0.64	0.00	0.00
119.54	0.02	0.08	0.67	0.22	0.01
119.66	0.28	0.31	0.39	0.02	0.01
119.97	0.10	0.17	0.31	0.40	0.02
120.29	0.20	0.07	0.34	0.36	0.02
120.61	0.36	0.04	0.34	0.25	0.01
120.93	0.27	0.19	0.37	0.16	0.01
121.07	0.31	0.14	0.41	0.13	0.01
121.73	0.16	0.24	0.42	0.17	0.01
121.99	0.26	0.25	0.39	0.09	0.01
122.31	0.19	0.15	0.44	0.21	0.01
122.63	0.18	0.40	0.32	0.09	0.01
123.04	0.15	0.35	0.26	0.22	0.02
123.26	0.04	0.05	0.32	0.56	0.03
123.58	0.17	0.27	0.41	0.13	0.01
123.90	0.23	0.38	0.36	0.03	0.01
124.22	0.05	0.13	0.19	0.49	0.14
124.55	0.12	0.24	0.36	0.27	0.02
124.87	0.03	0.06	0.30	0.51	0.10
125.19	0.00	0.00	0.06	0.44	0.50
125.51	0.00	0.31	0.21	0.45	0.03
125.83	0.00	0.18	0.44	0.36	0.02
126.15	0.14	0.39	0.41	0.04	0.01
126.47	0.00	0.08	0.31	0.58	0.03
126.59	0.00	0.07	0.32	0.57	0.04
127.10	0.00	0.00	0.06	0.43	0.51
127.42	0.01	0.00	0.04	0.30	0.65
127.81	0.00	0.12	0.36	0.40	0.12
128.13	0.06	0.11	0.55	0.27	0.01
128.45	0.06	0.14	0.60	0.19	0.01
128.77	0.14	0.19	0.66	0.01	0.00
129.09	0.00	0.08	0.65	0.25	0.01
129.41	0.00	0.29	0.69	0.02	0.00
129.73	0.10	0.11	0.75	0.03	0.00
130.05	0.11	0.10	0.71	0.08	0.00
130.37	0.13	0.15	0.72	0.00	0.00
130.69	0.04	0.14	0.58	0.24	0.01
131.01	0.00	0.05	0.48	0.44	0.02
131.33	0.00	0.05	0.46	0.46	0.02
131.65	0.12	0.14	0.74	0.00	0.00
131.97	0.09	0.32	0.57	0.02	0.00
132.29	0.05	0.09	0.78	0.08	0.00
132.61	0.08	0.23	0.68	0.01	0.00
132.93	0.00	0.04	0.44	0.49	0.02
133.34	0.02	0.37	0.30	0.29	0.02
133.66	0.02	0.42	0.33	0.21	0.02
133.98	0.01	0.35	0.30	0.32	0.02
134.30	0.02	0.02	0.23	0.70	0.04
134.63	0.04	0.07	0.66	0.22	0.01
134.97	0.00	0.01	0.14	0.82	0.04
135.29	0.00	0.00	0.11	0.85	0.04
135.54	0.02	0.01	0.18	0.74	0.04
135.86	0.00	0.45	0.35	0.18	0.02
136.18	0.01	0.41	0.37	0.20	0.02
136.50	0.00	0.38	0.19	0.41	0.03
136.82	0.00	0.38	0.10	0.48	0.03
137.14	0.00	0.41	0.22	0.35	0.02
137.46	0.07	0.44	0.42	0.06	0.01
137.78	0.19	0.07	0.58	0.16	0.01
138.10	0.14	0.06	0.53	0.26	0.01
138.36	0.14	0.06	0.54	0.25	0.01
138.68	0.16	0.13	0.21	0.46	0.03
139.00	0.02	0.31	0.39	0.26	0.02
139.32	0.00	0.49	0.15	0.34	0.02
139.64	0.15	0.17	0.67	0.00	0.00
139.96	0.16	0.30	0.20	0.32	0.02
140.28	0.03	0.43	0.34	0.18	0.01
140.94	0.14	0.12	0.73	0.00	0.00
141.26	0.15	0.09	0.76	0.00	0.00
141.58	0.15	0.08	0.73	0.03	0.00
141.90	0.00	0.05	0.45	0.47	0.03
142.22	0.01	0.21	0.43	0.31	0.05
142.53	0.00	0.14	0.18	0.26	0.42
142.85	0.00	0.13	0.20	0.24	0.43
143.17	0.00	0.04	0.41	0.51	0.04
143.48	0.17	0.29	0.30	0.03	0.20
143.80	0.00	0.01	0.09	0.26	0.63
144.12	0.00	0.02	0.14	0.18	0.66
145.45	0.00	0.00	0.07	0.49	0.43
145.77	0.01	0.07	0.55	0.35	0.02
146.09	0.15	0.23	0.57	0.04	0.00
146.41	0.22	0.23	0.54	0.02	0.00
146.73	0.01	0.32	0.30	0.35	0.02
147.36	0.00	0.30	0.55	0.14	0.01
147.68	0.07	0.43	0.38	0.10	0.01
148.00	0.09	0.57	0.28	0.04	0.01
148.32	0.11	0.46	0.37	0.05	0.01
148.64	0.00	0.38	0.24	0.35	0.02
148.96	0.24	0.46	0.25	0.04	0.01
149.28	0.00	0.45	0.48	0.07	0.01
149.60	0.00	0.21	0.41	0.36	0.02
149.92	0.01	0.29	0.45	0.24	0.02
150.23	0.09	0.30	0.33	0.25	0.02
150.55	0.87	0.03	0.10	0.00	0.00
150.87	0.00	0.07	0.42	0.47	0.05
151.19	0.13	0.08	0.70	0.09	0.00
151.49	0.26	0.15	0.59	0.00	0.00
151.69	0.20	0.14	0.66	0.00	0.00
152.01	0.00	0.06	0.56	0.36	0.02
152.33	0.01	0.07	0.63	0.28	0.01
152.65	0.00	0.05	0.47	0.46	0.02
152.97	0.04	0.08	0.72	0.16	0.01
153.10	0.09	0.08	0.75	0.08	0.00
153.42	0.13	0.09	0.78	0.01	0.00
153.74	0.05	0.08	0.68	0.18	0.01
154.06	0.21	0.33	0.31	0.14	0.01
154.38	0.00	0.13	0.11	0.70	0.06
154.51	0.18	0.51	0.25	0.05	0.01
154.63	0.03	0.03	0.06	0.41	0.47
154.95	0.04	0.05	0.06	0.44	0.42
155.27	0.18	0.37	0.17	0.26	0.02
155.59	0.00	0.01	0.05	0.33	0.61
156.88	0.35	0.52	0.03	0.10	0.02
157.20	0.40	0.49	0.07	0.04	0.01
157.52	0.63	0.19	0.16	0.01	0.00
157.84	0.51	0.43	0.02	0.03	0.01
161.47	0.30	0.46	0.17	0.06	0.01
161.79	0.18	0.45	0.32	0.04	0.01
162.11	0.10	0.22	0.36	0.30	0.02
163.70	0.76	0.14	0.10	0.01	0.00
164.02	0.84	0.14	0.01	0.01	0.00
164.34	0.94	0.03	0.03	0.00	0.00
164.66	0.67	0.22	0.06	0.05	0.01
165.81	0.37	0.42	0.17	0.03	0.01
166.13	0.38	0.40	0.18	0.03	0.01
166.45	0.52	0.27	0.20	0.02	0.00
166.54	0.99	0.00	0.00	0.00	0.00
166.86	0.00	0.06	0.14	0.77	0.04
167.30	0.50	0.44	0.01	0.05	0.01
167.61	0.96	0.01	0.03	0.00	0.00
170.33	0.01	0.00	0.03	0.22	0.74
170.65	0.70	0.02	0.18	0.10	0.00
170.97	0.41	0.25	0.32	0.01	0.00
171.29	0.12	0.26	0.52	0.09	0.01
178.18	0.19	0.22	0.10	0.47	0.03
178.50	0.21	0.02	0.21	0.53	0.03
178.82	0.04	0.02	0.20	0.71	0.04
180.92	0.22	0.35	0.26	0.16	0.02
181.24	0.11	0.31	0.25	0.31	0.02
181.56	0.11	0.08	0.14	0.07	0.60
181.88	0.00	0.01	0.06	0.26	0.67
182.36	0.00	0.00	0.02	0.07	0.91
182.68	0.15	0.11	0.05	0.05	0.65
182.98	0.19	0.11	0.39	0.27	0.04
183.32	0.82	0.16	0.00	0.01	0.00
183.64	0.02	0.34	0.33	0.29	0.02
183.96	0.62	0.04	0.34	0.00	0.00
184.26	0.56	0.05	0.38	0.01	0.00
185.29	0.51	0.05	0.42	0.02	0.00
185.61	0.38	0.08	0.45	0.09	0.00
185.93	0.27	0.18	0.50	0.05	0.00
186.25	0.78	0.03	0.19	0.00	0.00
187.69	0.56	0.05	0.34	0.05	0.00
188.01	0.54	0.13	0.32	0.02	0.00
188.31	0.64	0.06	0.26	0.04	0.00
188.65	0.96	0.01	0.03	0.01	0.00
188.97	0.98	0.01	0.02	0.00	0.00
189.29	0.63	0.02	0.17	0.17	0.01
194.92	0.00	0.35	0.44	0.20	0.01
195.24	0.00	0.31	0.51	0.17	0.01
195.56	0.00	0.19	0.32	0.47	0.03
195.88	0.02	0.40	0.38	0.19	0.01
196.20	0.06	0.41	0.37	0.14	0.01
197.81	0.79	0.03	0.18	0.00	0.00
199.58	0.08	0.31	0.59	0.02	0.00
199.90	0.19	0.16	0.55	0.10	0.00
200.22	0.14	0.09	0.76	0.01	0.00
200.36	0.13	0.14	0.72	0.01	0.00
200.68	0.08	0.41	0.48	0.03	0.01
201.00	0.13	0.22	0.64	0.01	0.00
201.32	0.04	0.39	0.54	0.02	0.01
201.64	0.17	0.27	0.54	0.01	0.00
202.11	0.02	0.54	0.39	0.04	0.01
202.43	0.09	0.22	0.42	0.26	0.02
202.75	0.31	0.05	0.41	0.22	0.01
203.07	0.15	0.24	0.16	0.42	0.03
203.39	0.20	0.52	0.23	0.04	0.01
203.71	0.00	0.30	0.27	0.40	0.02
204.30	0.86	0.13	0.00	0.01	0.00
204.65	0.61	0.29	0.07	0.02	0.01
204.93	0.10	0.36	0.45	0.09	0.01
205.82	0.09	0.33	0.27	0.30	0.02
206.14	0.13	0.32	0.20	0.32	0.02
206.46	0.09	0.37	0.32	0.20	0.01
206.66	0.91	0.01	0.05	0.03	0.00
206.78	0.03	0.24	0.37	0.34	0.02
206.98	0.44	0.30	0.10	0.14	0.01
207.30	0.39	0.39	0.11	0.09	0.01
207.62	0.33	0.48	0.15	0.04	0.01
210.28	0.15	0.03	0.15	0.27	0.40
210.44	0.00	0.03	0.14	0.74	0.09
210.60	0.11	0.09	0.16	0.36	0.28
210.76	0.29	0.08	0.44	0.18	0.01
210.92	0.09	0.06	0.09	0.30	0.47
212.13	0.09	0.05	0.41	0.42	0.02
212.44	0.01	0.02	0.21	0.49	0.26
212.45	0.08	0.14	0.26	0.48	0.03
212.76	0.00	0.09	0.09	0.77	0.04
212.77	0.12	0.31	0.25	0.30	0.02
213.66	0.03	0.06	0.10	0.48	0.34
215.02	0.10	0.50	0.36	0.04	0.01
215.34	0.00	0.26	0.47	0.25	0.02
215.66	0.00	0.04	0.15	0.71	0.10
215.98	0.01	0.27	0.57	0.15	0.01
216.29	0.00	0.20	0.61	0.18	0.01
216.61	0.09	0.21	0.39	0.30	0.02
216.93	0.07	0.14	0.48	0.30	0.02
217.25	0.00	0.22	0.27	0.48	0.03
217.58	0.35	0.22	0.42	0.01	0.00
217.90	0.10	0.49	0.37	0.03	0.01
218.22	0.03	0.45	0.49	0.03	0.01
218.49	0.00	0.28	0.68	0.04	0.00
218.81	0.00	0.08	0.75	0.16	0.01
219.13	0.00	0.12	0.79	0.09	0.00
219.45	0.00	0.22	0.56	0.21	0.01
219.77	0.00	0.17	0.39	0.42	0.02
219.95	0.00	0.38	0.52	0.10	0.01
220.27	0.00	0.42	0.45	0.12	0.01
220.59	0.00	0.19	0.38	0.40	0.02
220.91	0.00	0.37	0.34	0.27	0.02
221.27	0.33	0.12	0.31	0.23	0.01
221.75	0.00	0.27	0.12	0.56	0.04
222.09	0.00	0.07	0.68	0.23	0.01
222.41	0.09	0.09	0.77	0.05	0.00
222.73	0.17	0.09	0.73	0.01	0.00
223.05	0.15	0.12	0.73	0.00	0.00
223.37	0.00	0.19	0.07	0.61	0.13
224.01	0.01	0.27	0.22	0.47	0.03
224.33	0.00	0.29	0.20	0.48	0.03
224.47	0.09	0.29	0.61	0.01	0.00
224.65	0.01	0.33	0.30	0.34	0.02
224.79	0.08	0.26	0.64	0.01	0.00
225.11	0.08	0.22	0.66	0.03	0.00
225.43	0.00	0.10	0.58	0.30	0.01
225.43	0.13	0.03	0.33	0.49	0.02
225.75	0.00	0.06	0.58	0.34	0.02
226.07	0.00	0.03	0.33	0.61	0.03
226.47	0.00	0.09	0.49	0.40	0.02
226.79	0.00	0.15	0.23	0.59	0.03
227.11	0.06	0.09	0.80	0.04	0.00
227.43	0.00	0.29	0.19	0.49	0.03
227.78	0.00	0.07	0.66	0.26	0.01
228.10	0.10	0.08	0.67	0.15	0.01
228.42	0.12	0.10	0.78	0.00	0.00
228.76	0.00	0.20	0.20	0.31	0.28
229.08	0.00	0.09	0.18	0.70	0.04
229.40	0.00	0.00	0.05	0.08	0.86
229.72	0.02	0.16	0.54	0.27	0.01
230.03	0.00	0.15	0.14	0.67	0.04
230.35	0.00	0.06	0.10	0.80	0.04
230.67	0.00	0.08	0.14	0.74	0.04
230.75	0.00	0.10	0.12	0.75	0.04
230.99	0.00	0.15	0.36	0.46	0.02
231.31	0.02	0.03	0.21	0.10	0.63
231.63	0.00	0.01	0.07	0.10	0.82
232.01	0.00	0.05	0.26	0.15	0.53
232.33	0.02	0.02	0.15	0.08	0.73
232.65	0.01	0.01	0.11	0.11	0.76
232.97	0.01	0.05	0.09	0.33	0.53
233.29	0.00	0.02	0.16	0.35	0.47
233.61	0.33	0.11	0.55	0.00	0.00
233.84	0.19	0.07	0.62	0.12	0.00
234.35	0.01	0.02	0.15	0.11	0.71
234.80	0.04	0.43	0.49	0.03	0.01
235.11	0.06	0.42	0.48	0.03	0.01
235.43	0.15	0.20	0.64	0.01	0.00
235.75	0.18	0.26	0.55	0.01	0.00
236.07	0.18	0.21	0.60	0.01	0.00
236.39	0.18	0.14	0.67	0.00	0.00
236.71	0.20	0.08	0.71	0.00	0.00
237.03	0.18	0.08	0.73	0.00	0.00
237.35	0.16	0.09	0.76	0.00	0.00
237.67	0.08	0.05	0.45	0.37	0.05
237.99	0.03	0.04	0.40	0.48	0.05
238.30	0.02	0.15	0.38	0.42	0.03
238.62	0.00	0.02	0.17	0.56	0.26
238.94	0.04	0.09	0.21	0.36	0.30
