%Spice Depth (m)	EM1	EM2	EM3	EM4	EM5 
239.26	0.00	0.01	0.10	0.54	0.36
239.58	0.19	0.27	0.37	0.15	0.01
239.90	0.05	0.06	0.53	0.25	0.12
240.22	0.18	0.23	0.57	0.01	0.00
240.54	0.15	0.19	0.65	0.01	0.00
240.86	0.19	0.13	0.68	0.00	0.00
241.18	0.18	0.08	0.74	0.00	0.00
241.50	0.17	0.12	0.71	0.00	0.00
241.82	0.18	0.11	0.70	0.00	0.00
242.14	0.05	0.06	0.52	0.29	0.08
242.46	0.29	0.36	0.19	0.16	0.01
242.78	0.44	0.11	0.43	0.02	0.00
242.94	0.00	0.03	0.09	0.47	0.42
243.10	0.13	0.62	0.20	0.05	0.01
243.26	0.00	0.03	0.18	0.51	0.29
243.42	0.09	0.37	0.16	0.34	0.03
243.58	0.00	0.09	0.11	0.66	0.14
243.90	0.00	0.04	0.10	0.78	0.08
244.22	0.00	0.16	0.31	0.50	0.03
244.54	0.08	0.36	0.36	0.18	0.01
244.86	0.00	0.06	0.19	0.61	0.14
244.94	0.24	0.46	0.26	0.03	0.01
245.26	0.11	0.42	0.42	0.04	0.01
245.58	0.34	0.30	0.33	0.03	0.00
245.90	0.37	0.37	0.22	0.02	0.01
246.21	0.00	0.04	0.14	0.79	0.04
246.53	0.37	0.46	0.13	0.03	0.01
246.85	0.00	0.03	0.17	0.76	0.04
247.17	0.00	0.05	0.14	0.75	0.06
247.49	0.00	0.02	0.12	0.81	0.05
247.81	0.00	0.06	0.20	0.70	0.04
248.13	0.26	0.22	0.51	0.01	0.00
248.37	0.53	0.17	0.27	0.02	0.00
248.69	0.44	0.07	0.37	0.12	0.01
249.00	0.31	0.18	0.32	0.18	0.01
249.34	0.34	0.12	0.26	0.27	0.01
249.66	0.30	0.09	0.26	0.33	0.02
249.98	0.33	0.24	0.41	0.01	0.00
250.30	0.34	0.17	0.45	0.03	0.00
250.62	0.40	0.15	0.44	0.00	0.00
250.94	0.54	0.10	0.35	0.00	0.00
251.26	0.22	0.14	0.27	0.33	0.04
251.43	0.00	0.02	0.20	0.55	0.23
251.75	0.40	0.05	0.18	0.31	0.07
252.07	0.45	0.50	0.00	0.04	0.01
252.43	0.39	0.04	0.38	0.18	0.01
252.75	0.22	0.14	0.12	0.50	0.03
253.07	0.36	0.06	0.23	0.34	0.02
253.36	0.53	0.01	0.10	0.35	0.02
253.71	0.12	0.34	0.52	0.02	0.01
253.91	0.72	0.03	0.24	0.00	0.00
254.03	0.00	0.38	0.50	0.11	0.01
254.23	0.42	0.08	0.34	0.15	0.01
254.54	0.23	0.32	0.19	0.24	0.02
254.86	0.42	0.25	0.31	0.01	0.00
255.18	0.31	0.24	0.27	0.16	0.01
255.50	0.09	0.07	0.04	0.05	0.74
256.21	0.32	0.18	0.30	0.19	0.01
256.53	0.20	0.58	0.16	0.04	0.01
256.85	0.49	0.44	0.02	0.03	0.01
257.17	0.54	0.40	0.02	0.03	0.01
257.48	0.40	0.35	0.22	0.02	0.01
257.80	0.24	0.20	0.55	0.01	0.00
259.39	0.08	0.51	0.37	0.04	0.01
259.71	0.27	0.18	0.30	0.23	0.01
260.03	0.23	0.24	0.27	0.25	0.02
260.35	0.47	0.02	0.14	0.23	0.14
260.67	0.50	0.31	0.17	0.02	0.01
261.07	0.31	0.22	0.39	0.08	0.01
261.39	0.39	0.04	0.36	0.19	0.01
261.71	0.35	0.03	0.32	0.28	0.01
262.03	0.01	0.30	0.18	0.48	0.03
262.35	0.00	0.06	0.09	0.72	0.13
262.67	0.00	0.17	0.19	0.54	0.10
262.92	0.06	0.39	0.51	0.02	0.01
263.24	0.00	0.27	0.54	0.18	0.01
263.29	0.08	0.19	0.34	0.38	0.02
263.56	0.19	0.39	0.17	0.23	0.02
263.61	0.15	0.19	0.65	0.01	0.00
263.88	0.04	0.09	0.77	0.10	0.00
263.93	0.11	0.23	0.64	0.01	0.00
264.24	0.27	0.06	0.39	0.26	0.01
264.56	0.71	0.03	0.26	0.00	0.00
264.88	0.48	0.07	0.40	0.05	0.00
265.20	0.59	0.04	0.34	0.03	0.00
265.52	0.49	0.21	0.29	0.01	0.00
266.08	0.36	0.02	0.17	0.42	0.02
266.40	0.35	0.24	0.39	0.01	0.00
266.72	0.25	0.12	0.34	0.27	0.01
267.04	0.00	0.17	0.50	0.31	0.02
267.36	0.26	0.18	0.35	0.19	0.01
267.68	0.54	0.09	0.36	0.00	0.00
268.00	0.30	0.35	0.32	0.02	0.01
268.32	0.51	0.16	0.32	0.01	0.00
268.63	0.09	0.02	0.07	0.58	0.24
268.95	0.17	0.16	0.12	0.52	0.03
269.17	0.57	0.06	0.38	0.00	0.00
269.49	0.36	0.20	0.42	0.02	0.00
269.81	0.38	0.16	0.42	0.04	0.00
270.13	0.31	0.03	0.29	0.35	0.02
270.45	0.32	0.04	0.34	0.29	0.01
270.77	0.02	0.18	0.09	0.66	0.04
271.09	0.08	0.07	0.09	0.67	0.10
271.31	0.08	0.50	0.38	0.03	0.01
271.62	0.05	0.07	0.09	0.70	0.09
271.94	0.05	0.02	0.08	0.64	0.22
272.26	0.06	0.01	0.05	0.37	0.51
272.50	0.01	0.40	0.49	0.09	0.01
272.82	0.16	0.55	0.24	0.04	0.01
273.14	0.10	0.50	0.36	0.03	0.01
273.46	0.03	0.29	0.32	0.34	0.02
273.79	0.58	0.05	0.37	0.00	0.00
274.11	0.83	0.02	0.14	0.01	0.00
274.43	0.99	0.00	0.01	0.00	0.00
274.75	0.91	0.01	0.08	0.00	0.00
275.07	0.85	0.02	0.13	0.00	0.00
275.29	0.01	0.21	0.23	0.52	0.03
275.61	0.00	0.27	0.13	0.56	0.03
275.93	0.41	0.02	0.18	0.37	0.02
276.24	0.02	0.04	0.41	0.50	0.03
276.56	0.00	0.00	0.03	0.19	0.78
276.88	0.00	0.00	0.00	0.06	0.94
276.94	0.00	0.01	0.01	0.08	0.89
277.20	0.05	0.22	0.38	0.34	0.02
277.26	0.12	0.02	0.20	0.58	0.07
279.67	0.00	0.02	0.20	0.74	0.04
280.05	0.64	0.03	0.29	0.03	0.00
280.37	0.70	0.03	0.25	0.01	0.00
280.69	0.71	0.04	0.25	0.00	0.00
281.01	0.76	0.08	0.15	0.00	0.00
281.33	0.73	0.10	0.17	0.00	0.00
281.64	0.76	0.20	0.02	0.01	0.00
281.74	0.12	0.46	0.38	0.03	0.01
281.97	0.76	0.22	0.00	0.02	0.01
282.06	0.02	0.38	0.45	0.13	0.01
282.29	0.81	0.17	0.01	0.01	0.00
282.38	0.03	0.45	0.48	0.03	0.01
282.61	0.89	0.09	0.01	0.00	0.00
282.70	0.02	0.40	0.42	0.15	0.01
283.02	0.11	0.27	0.31	0.29	0.02
283.34	0.05	0.54	0.36	0.04	0.01
283.66	0.43	0.44	0.08	0.03	0.01
283.98	0.00	0.43	0.52	0.04	0.01
284.30	0.49	0.11	0.35	0.05	0.00
284.62	0.00	0.38	0.26	0.33	0.02
284.94	0.00	0.26	0.44	0.28	0.02
285.26	0.01	0.30	0.41	0.25	0.02
285.58	0.70	0.12	0.17	0.00	0.00
285.90	0.03	0.32	0.61	0.04	0.01
286.22	0.03	0.33	0.52	0.11	0.01
286.54	0.08	0.50	0.37	0.04	0.01
286.86	0.05	0.16	0.33	0.43	0.02
287.18	0.10	0.14	0.28	0.46	0.03
287.50	0.09	0.12	0.29	0.47	0.04
287.81	0.06	0.47	0.42	0.03	0.01
288.13	0.06	0.41	0.50	0.03	0.01
288.45	0.04	0.44	0.48	0.03	0.01
288.77	0.23	0.57	0.15	0.04	0.01
289.09	0.05	0.39	0.53	0.02	0.01
289.41	0.03	0.41	0.49	0.07	0.01
289.73	0.35	0.36	0.26	0.02	0.01
290.05	0.00	0.34	0.51	0.14	0.01
290.37	0.00	0.22	0.42	0.35	0.02
290.69	0.00	0.18	0.30	0.50	0.03
291.01	0.00	0.08	0.40	0.50	0.02
291.33	0.00	0.17	0.39	0.39	0.05
291.65	0.00	0.26	0.41	0.31	0.02
291.97	0.00	0.00	0.02	0.11	0.87
292.29	0.00	0.00	0.10	0.67	0.23
